,code,country,1st_const_year,2nd_const_year,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,1st_2nd_stm,1st_current_stm,constitutional_time,first_regime_time,1st_2nd_tfidf_adj,1st_2nd_lda_adj,1st_2nd_use_adj,1st_2nd_stm_adj,1st_curr_tfidf_adj,1st_curr_lda_adj,1st_curr_use_adj,1st_curr_stm_adj
66,GRD,Grenada,1974,,,,,,,,,,48,48.0,,,,,,,,
67,GTM,Guatemala,1879,1945.0,0.6112143,0.6382606,0.5384323196029086,0.6007265996197373,0.15380799252370547,0.21520880825033117,0.5712561665938632,0.7633975160268764,143,66.0,0.009260822727272727,0.008158065448528918,0.0023304241291470526,0.008655396463543382,0.0044633608391608385,0.004200885312026135,0.001504956701051267,0.005338444168020115
68,GIN,Guinea,1958,1982.0,0.54278666,0.77952334,0.6973360597740736,0.7022314115476659,0.1870910690142915,0.3118616537266323,0.4973295398685413,0.5637417639456636,64,24.0,0.02261611083333333,0.029055669157253067,0.007795461208928813,0.02072206416118922,0.0121800521875,0.01097236580543228,0.00487283833947863,0.008808465061650993
69,GNB,Guinea Bissau,1973,1984.0,0.56299728,0.30601924999999996,0.3782440967426927,0.5297285902351461,0.18064799616877902,0.22168167545358886,0.2525204353926464,0.3646287390201402,49,11.0,0.051181570909090916,0.03438582697660843,0.01642254510625264,0.02295640321751331,0.0062452908163265295,0.010810787555819308,0.004524115825583446,0.007441402837145719
70,GUY,Guyana,1966,1970.0,0.07890140000000001,0.08124229999999999,0.2127311354105742,0.2247946762653031,0.016569125987919597,0.03330747769478637,0.3675435337045274,0.3902892155964516,56,4.0,0.019725350000000003,0.05318278385264355,0.004142281496979899,0.09188588342613185,0.001450755357142857,0.004014190647594698,0.0005947763874068994,0.006969450278508064
71,HTI,Haiti,1801,1805.0,0.950351603,0.965195738,0.596134817326137,0.6442093941441482,0.10950395139256308,0.21983495894891036,0.7088489924616366,0.7477098097557849,221,4.0,0.23758790075,0.14903370433153426,0.02737598784814077,0.17721224811540914,0.004367401529411765,0.0029149746341364173,0.0009947283210357935,0.003383302306587262
72,HND,Honduras,1839,1848.0,0.5450101199999999,0.79385018,0.1865814478276189,0.6974225548849534,0.025049385323883233,0.16405236472899976,0.1795426931768912,0.7471085341332077,183,9.0,0.060556679999999995,0.020731271980846545,0.002783265035987026,0.01994918813076569,0.00433797912568306,0.0038110522124860844,0.0008964610094480861,0.004082560295809878
73,HUN,Hungary,1919,1920.0,0.89239232,0.89911157,0.7773782540336206,0.7005701910354478,0.21583030060393982,0.18755621869294137,0.7744447283143141,0.8109472080283622,103,1.0,0.89239232,0.7773782540336206,0.21583030060393982,0.7744447283143141,0.00872923854368932,0.0068016523401499785,0.001820934162067392,0.00787327386435303
74,ISL,Iceland,1874,1920.0,0.924215734,0.10807089999999997,0.4250903342116153,0.5267402303701273,0.03388289082381757,0.07845416700177199,0.286925860632902,0.4330699401384672,148,46.0,0.020091646391304348,0.009241094221991637,0.0007365845831264689,0.006237518709410913,0.0007302087837837836,0.003559055610608968,0.0005300957229849458,0.0029261482441788325
75,IND,India,1949,,,,,,,,,,73,73.0,,,,,,,,
76,IDN,Indonesia,1945,2002.0,0.71703702,0.71703702,0.6786587482393588,0.6786587482393588,0.19458490456913602,0.19458490456913602,0.3957574641460813,0.3957574641460813,77,57.0,0.012579596842105264,0.01190629382876068,0.0034137702555988776,0.0069431134060716024,0.009312169090909091,0.00881374997713453,0.002527076682716052,0.005139707326572485
77,IRN,Iran,1906,1979.0,0.96267314,0.96267314,0.7398105907965019,0.7398105907965019,0.30092661054330305,0.30092661054330305,0.637183701213513,0.637183701213513,116,73.0,0.013187303287671233,0.010134391654746602,0.004122282336209631,0.008728543852239904,0.008298906379310345,0.006377677506866396,0.0025941949184767506,0.005492962941495801
78,IRQ,Iraq,1925,2005.0,0.382343,0.382343,0.733563603928421,0.733563603928421,0.08871265424481345,0.08871265424481345,0.7170542338053906,0.7170542338053906,97,80.0,0.0047792875,0.009169545049105263,0.0011089081780601682,0.008963177922567383,0.003941680412371134,0.007562511380705371,0.0009145634458228191,0.007392311688715366
79,IRL,Ireland,1922,1937.0,0.20088094,0.20088094,0.4712997391049063,0.4712997391049063,0.06430215029366704,0.06430215029366704,0.4213127210554021,0.4213127210554021,100,15.0,0.013392062666666668,0.03141998260699375,0.004286810019577802,0.028087514737026805,0.0020088094,0.004712997391049063,0.0006430215029366704,0.004213127210554021
80,ISR,Israel,1958,,,,,,,,,,64,64.0,,,,,,,,
81,ITA,Italy,1848,1947.0,0.68768293,0.68768293,0.6413175282234278,0.6413175282234278,0.16672443676035054,0.16672443676035054,0.6248335620728244,0.6248335620728244,174,99.0,0.006946292222222222,0.0064779548305396745,0.0016840852198015206,0.006311450121947721,0.003952200747126437,0.0036857329208242976,0.0009581864181629342,0.0035909974831771514
82,JAM,Jamaica,1962,,,,,,,,,,60,60.0,,,,,,,,
83,JPN,Japan,1889,1946.0,0.5239343599999999,0.5239343599999999,0.4181695081631505,0.4181695081631505,0.11767798307345256,0.11767798307345256,0.5253482197380424,0.5253482197380424,133,57.0,0.009191830877192981,0.007336307160757027,0.0020645260188325012,0.009216635434000742,0.003939356090225564,0.00314413164032444,0.000884796865213929,0.003949986614571747
84,JOR,Jordan,1946,1952.0,0.41448282999999997,0.41448282999999997,0.2938734454637541,0.2938734454637541,0.052688430627105154,0.052688430627105154,0.4101811635016479,0.4101811635016479,76,6.0,0.06908047166666666,0.04897890757729235,0.008781405104517526,0.06836352725027466,0.005453721447368421,0.0038667558613651857,0.0006932688240408573,0.005397120572390104
85,KAZ,Kazakhstan,1995,,,,,,,,,,27,27.0,,,,,,,,
86,KEN,Kenya,1963,2010.0,0.28501433,0.28501433,0.8112244864450219,0.8112244864450219,0.0406062309191334,0.0406062309191334,0.5975314004966898,0.5975314004966898,59,47.0,0.0060641346808510636,0.01726009545627706,0.0008639623599815617,0.01271343405312106,0.004830751355932203,0.013749567566864778,0.0006882412020192102,0.0101276508558761
87,KIR,Kiribati,1979,,,,,,,,,,43,43.0,,,,,,,,
88,KOS,Kosovo,2008,,,,,,,,,,14,14.0,,,,,,,,
89,KWT,Kuwait,1962,,,,,,,,,,60,60.0,,,,,,,,
90,KGZ,Kyrgyz,1993,2007.0,0.6385622,0.57895488,0.2638094084169248,0.3249445684551628,0.04624437608064402,0.03777720226497161,0.3247114977210592,0.3050056990588273,29,14.0,0.04561158571428571,0.018843529172637485,0.0033031697200460015,0.023193678408647084,0.019963961379310342,0.011204985119143545,0.0013026621470679865,0.010517437898580251
91,LAO,Laos,1947,1991.0,0.976955174,0.976955174,0.7268000388750603,0.7268000388750603,0.16342441860642964,0.16342441860642964,0.7646634819108346,0.7646634819108346,75,44.0,0.022203526681818183,0.016518182701705915,0.00371419133196431,0.017378715497973513,0.013026068986666667,0.009690667185000805,0.0021789922480857284,0.01019551309214446
92,LVA,Latvia,1919,1922.0,0.948687907,0.7931330400000001,0.6986585109507066,0.6994974017991409,0.26251183466186234,0.2958207156903023,0.6251265282579764,0.6273676225822993,103,3.0,0.31622930233333335,0.2328861703169022,0.08750394488728745,0.20837550941932548,0.00770032077669903,0.006791236910671271,0.0028720457834009935,0.006090947792061158
93,LBN,Lebanon,1926,,,,,,,,,,96,96.0,,,,,,,,
94,LSO,Lesotho,1966,1983.0,0.11587910000000001,0.06079829999999997,0.2340349591684946,0.1423339058563382,0.18923828353610994,0.004723398218228758,0.2544696465608276,0.0870930417351016,56,17.0,0.006816417647058824,0.013766762304029094,0.011131663737418232,0.014968802738872211,0.0010856839285714281,0.0025416768902917536,8.434639675408497e-05,0.0015552328881268142
